subject,object,relation,source_file
餍肥之日,兄教育之,父,001.txt
背父,教育之恩,兄,001.txt
大师,子蠢物,弟,001.txt
心切慕之,子质虽粗,弟,001.txt
携带,子得入红,弟,001.txt
不知赐了,子那几件,弟,001.txt
又不知携,子到何地,弟,001.txt
望乞明示,子不惑,弟,001.txt
头说道,你这一段,兄,001.txt
亦无班,蔡女之德,姑,001.txt
或贬人,奸淫凶恶,妻,001.txt
坏人子,又不可胜,弟,001.txt
臣良,慈子孝,父,001.txt
处曰,有城曰阊,姑,001.txt
字士隐,封氏,妻,001.txt
世罕闻者,子愚浊,弟,001.txt
备细一闻,子则洗耳,弟,001.txt
又见奶,正抱了英,母,001.txt
士隐见,越发生得,女儿,001.txt
便抱,撤身要进,女儿,001.txt
他生于末,母祖宗根,父,001.txt
生于末世,祖宗根基,母,001.txt
是无聊之,来得正妙,兄,001.txt
便令人送,进去,女儿,001.txt
略坐,即来陪,弟,001.txt
雨村,真抱负不,兄,001.txt
想尊,旅寄僧房,兄,001.txt
特具小酌,到敝斋一,兄,001.txt
吾每谓,必非久居,兄,001.txt
便道,何不早言,兄,001.txt
但每遇,兄并未谈,兄,001.txt
但每遇兄,并未谈及,兄,001.txt
岁正当大,宜作速入,兄,001.txt
方不负,之所学也,兄,001.txt
其盘费余,自代为处,弟,001.txt
亦不枉,之谬识矣,兄,001.txt
乃黄道之,可即买舟,兄,001.txt
士隐夫妇,一夜不归,女儿,001.txt
音响皆无,二人,妻,001.txt
只得与,商议,妻子,001.txt
便携了,与两个丫,妻子,001.txt
今见,这等狼狈,女婿,001.txt
只有姣,忘不了,妻,001.txt
痴心,母古来多,父,001.txt
痴心父,古来多,母,001.txt
只得与,商议,父亲,001.txt
着他,母度日,父,001.txt
他父,度日,母,001.txt
帮着,用度,父亲,001.txt
第二回,仙逝扬州,夫人,002.txt
他既是你,便带了你,女婿,002.txt
曾与,旧日相交,女婿,002.txt
所以他只,移住于此,女婿,002.txt
又问外孙,我说看灯,女儿,002.txt
便在,前一力撺,女儿,002.txt
以待寻访,下落,女儿,002.txt
雨村嫡,忽染疾下,妻,002.txt
正室,正是,夫人,002.txt
本贯,苏人氏,姑,002.txt
至如海之,又袭了一,父,002.txt
今只有嫡,贾氏,妻,002.txt
年方五岁,无子,妻,002.txt
生之,贾氏夫人,母,002.txt
贾氏,一疾而终,夫人,002.txt
笑问道,何日到此,兄,002.txt
兄何日到,竟不知,弟,002.txt
雨村笑道,族中无人,弟,002.txt
是一,同胞弟兄,母,002.txt
同胞,兄两个,弟,002.txt
胞弟,两个,兄,002.txt
生了四个,宁公死后,儿子,002.txt
也养了两,长名贾敷,儿子,002.txt
因他,一心想作,父亲,002.txt
让他袭了,又不肯回,父亲,002.txt
一个,今年才十,儿子,002.txt
姐为,生了两个,妻,002.txt
生了两个,长子贾赦,儿子,002.txt
早已去世,尚在,夫人,002.txt
酷喜读书,最疼,父,002.txt
这政老爹,王氏,夫人,002.txt
娶了,生了子,妻,002.txt
因而乃祖,便先爱如,母,002.txt
他说,是水作的,女儿,002.txt
我见了,我便清爽,女儿,002.txt
之倪云林,祝枝山,伯,002.txt
必得两个,伴着我读,女儿,002.txt
厮们说,两个字,女儿,002.txt
那些,其温厚和,女儿,002.txt
里面,们拿他取,女儿,002.txt
管叫,做甚,姐妹,002.txt
莫不是求,去说情讨,姐妹,002.txt
便连叫,起来了,姐妹,002.txt
也因祖,溺爱不明,母,002.txt
这等子,必不能守,弟,002.txt
必不能守,之根基,父,002.txt
因史老,极爱孙女,夫人,002.txt
都跟在祖,这边一处,母,002.txt
甄家的风,之名,女儿,002.txt
却也是从,弟而来的,兄,002.txt
却也是从,而来的,弟,002.txt
公之,即荣府中,夫人,002.txt
度其,必不凡,母,002.txt
老爹,王氏之内,夫人,002.txt
在乃,政老爷家,叔,002.txt
他令,之后,夫人,002.txt
颂他,琏爷倒退,夫人,002.txt
雨村,恭喜了,兄,002.txt
林黛玉抛,进京都,父,003.txt
都中家岳,念及小女,母,003.txt
但请放心,已预为筹,弟,003.txt
转托内,务为周全,兄,003.txt
方可稍尽,之鄙诚,弟,003.txt
所费用之,于内兄信,弟,003.txt
弟于内,信中已注,兄,003.txt
亦不劳尊,多虑矣,兄,003.txt
与尊,犹系同谱,兄,003.txt
大内,现袭一等,兄,003.txt
二内,名政,兄,003.txt
大有祖,遗风,父,003.txt
仕宦之流,方致书烦,弟,003.txt
污尊,之清操,兄,003.txt
兄之清操,亦不屑为,弟,003.txt
小女入都,即同路而,兄,003.txt
原不忍弃,而往,父,003.txt
无奈他外,致意务去,母,003.txt
如海说,年将半百,父,003.txt
上无亲,教养,母,003.txt
下无姊妹,弟扶持,兄,003.txt
下无姊妹,扶持,弟,003.txt
今依傍外,及舅氏姊,母,003.txt
母及,氏姊妹去,舅,003.txt
听得,说过,母亲,003.txt
他外祖,家与别家,母,003.txt
人回话,娘到了,姑,003.txt
的老,迎上来,母,003.txt
外祖,方欲拜见,母,003.txt
早被他外,一把搂入,母,003.txt
外祖,此即冷,母,003.txt
贾赦贾政,当下贾母,母,003.txt
当下贾,一一指与,母,003.txt
这是你大,这是你二,舅,003.txt
这是你大,这是你二,母,003.txt
这是你二,这是你先,舅,003.txt
这是你二,这是你先,母,003.txt
一拜见过,又说,母,003.txt
母又说,娘们来,姑,003.txt
玉之,如何得病,母,003.txt
不免贾,又伤感起,母,003.txt
有你,今日一旦,母,003.txt
我去出家,母固是不,父,003.txt
我父,固是不从,母,003.txt
许见哭声,母之外,父,003.txt
除父,之外,母,003.txt
养荣丸,正好,母,003.txt
与众,娘不同,姑,003.txt
起身接见,笑道,母,003.txt
也曾听见,说过,母亲,003.txt
母亲说过,贾赦之子,舅,003.txt
娶的就是,母王氏之,舅,003.txt
二舅,王氏之内,母,003.txt
仍送至贾,身边坐下,母,003.txt
外孙,竟是个嫡,女儿,003.txt
怎么,妈偏就去,姑,003.txt
用帕拭泪,笑道,母,003.txt
婆子们,娘的行李,姑,003.txt
又见二,母问他,舅,003.txt
又见二舅,问他,母,003.txt
记错了,有没有,夫人,003.txt
好送来,一笑,夫人,003.txt
茶果已撤,命两个老,母,003.txt
两个,时贾赦之,母,003.txt
个母,时贾赦之,舅,003.txt
时贾赦之,邢氏忙亦,妻,003.txt
也便宜,笑道,母,003.txt
过来了,答应了一,夫人,003.txt
与王,作辞,夫人,003.txt
幄青,携了黛玉,夫人,003.txt
打起车帘,搀着黛玉,夫人,003.txt
丫鬟迎着,让黛玉坐,夫人,003.txt
见了,娘彼此倒,姑,003.txt
不忍相见,娘不要伤,姑,003.txt
太和,即同家里,舅,003.txt
和舅,即同家里,母,003.txt
便告辞,苦留吃过,夫人,003.txt
玉笑回道,母爱惜赐,舅,003.txt
笑回道,爱惜赐饭,母,003.txt
见二,恐领了赐,舅,003.txt
二舅,恐领了赐,舅,003.txt
未为不可,母容谅,舅,003.txt
望舅,容谅,母,003.txt
母容谅,听说,夫人,003.txt
送了,娘过去,姑,003.txt
黛玉告辞,送至仪门,夫人,003.txt
比贾,处不同,母,003.txt
同乡世教,勋袭东安,弟,003.txt
原来王,时常居坐,夫人,003.txt
请林,娘到那边,姑,003.txt
靠背引枕,却坐在西,夫人,003.txt
椅上坐了,再四携他,夫人,003.txt
他方挨王,坐了,夫人,003.txt
夫人坐了,因说,夫人,003.txt
人因说,舅今日斋,舅,003.txt
你舅,今日斋戒,舅,003.txt
母亲说过,母生的有,舅,003.txt
二舅,生的有个,母,003.txt
有个,乃衔玉而,表兄,003.txt
外祖,又极溺爱,母,003.txt
今见王,如此说,夫人,003.txt
是这,因陪笑道,表兄,003.txt
因陪笑道,母说的,舅,003.txt
陪笑道,说的,母,003.txt
听见,常说,母亲,003.txt
和姊妹同,弟们自是,兄,003.txt
姊妹同处,们自是别,弟,003.txt
惹之理,笑道,夫人,003.txt
晚饭了,忙携黛玉,夫人,003.txt
一所房室,笑指向黛,夫人,003.txt
垂手侍立,遂携黛玉,夫人,003.txt
便是贾,的后院了,母,003.txt
见王,来了,夫人,003.txt
贾珠之,李氏捧饭,妻,003.txt
熙凤安箸,进羹,夫人,003.txt
夫人进羹,正面榻上,母,003.txt
十分推让,笑道,母,003.txt
母笑道,母你嫂子,舅,003.txt
你舅,你嫂子们,母,003.txt
坐了,命王夫人,母,003.txt
贾母命王,坐了,夫人,003.txt
是吃的茶,便说,母,003.txt
说话儿,听了,夫人,003.txt
二人去了,因问黛玉,母,003.txt
们读何书,读的是,母,003.txt
向贾,请了安,母,003.txt
母请了安,便命,母,003.txt
母因笑道,因笑道,母,003.txt
便料定是,妈之女,姑,003.txt
见过的,笑道,母,003.txt
为不可,笑道,母,003.txt
争去拾玉,急的搂了,母,003.txt
家里姐,妹都没有,姐妹,003.txt
好东西,忙哄他道,母,003.txt
因你,妈去世时,姑,003.txt
二则你,妈之灵,姑,003.txt
见了,之意,女儿,003.txt
玉之房舍,今将宝,母,003.txt
把你林,娘暂安置,姑,003.txt
得安静,想了一想,母,003.txt
唤作雪雁,见雪雁甚,母,003.txt
幼乳,另有四个,母,003.txt
宝玉之乳,李嬷嬷,母,003.txt
是贾,之婢,母,003.txt
本名珍珠,因溺爱宝,母,003.txt
遂回明贾,更名袭人,母,003.txt
伏侍贾,心中眼中,母,003.txt
个贾,如今服侍,母,003.txt
笑问,娘怎么还,姑,003.txt
哥笑道,娘正在这,姑,003.txt
袭人道,娘快休如,姑,003.txt
省过贾,因往王夫,母,003.txt
因往王,处来,夫人,003.txt
正值王,与熙凤在,夫人,003.txt
又有王,之兄嫂处,夫人,003.txt
人之,嫂处遣了,兄,003.txt
薛家,母之子姨,姨,003.txt
家姨,之子姨表,母,003.txt
之子,表兄薛蟠,姨,003.txt
子姨,薛蟠,表兄,003.txt
如今,舅王子腾,母,003.txt
如今母,王子腾得,舅,003.txt
至王,见王夫人,夫人,004.txt
见王,与兄嫂处,夫人,004.txt
见王夫人,嫂处的来,兄,004.txt
又说,母家遭人,姨,004.txt
又说姨,家遭人命,母,004.txt
因见王,事情冗杂,夫人,004.txt
珠之,珠虽夭亡,妻,004.txt
陵名宦之,名李守中,父,004.txt
外则陪侍,等针黹诵,姑,004.txt
日有这般,相伴,姐妹,004.txt
除老,余者也都,父,004.txt
自幼,母早亡,父,004.txt
自幼父,早亡,母,004.txt
又无,只他一个,兄,004.txt
又无兄,只他一个,弟,004.txt
他这里自,弟奴仆在,兄,004.txt
有兄,奴仆在此,弟,004.txt
人有云,相时而动,丈夫,004.txt
年丧,寡母又怜,父,004.txt
幼年丧父,又怜他是,母,004.txt
不过赖祖,之旧情分,父,004.txt
人等措办,王氏乃现,母,004.txt
政的,王氏,夫人,004.txt
是一,所生的姊,母,004.txt
当日有他,在日,父亲,004.txt
较之乃,竟高过十,兄,004.txt
高过十倍,死后,父亲,004.txt
依贴,他便不以,母,004.txt
好为,分忧解劳,母亲,004.txt
二则自薛,死后,父亲,004.txt
他便带了,妹竟自起,母,004.txt
却又闻得,舅王子腾,母,004.txt
却又闻得,王子腾升,舅,004.txt
亲的,舅管辖着,母,004.txt
的母,管辖着,舅,004.txt
因和,商议道,母亲,004.txt
拾才好,何必如,母亲,004.txt
或是在你,舅家,舅,004.txt
或是在你,或是你姨,舅,004.txt
或是你,爹家,姨,004.txt
如今,舅正升了,舅,004.txt
如今舅,正升了外,舅,004.txt
没眼色,你舅舅,母亲,004.txt
母亲道,舅家虽升,舅,004.txt
你舅,家虽升了,舅,004.txt
还有你,爹家,姨,004.txt
这几年来,舅姨娘两,舅,004.txt
你舅,姨娘两处,舅,004.txt
你舅舅,娘两处,姨,004.txt
今既来了,舅虽忙着,舅,004.txt
你舅,虽忙着起,舅,004.txt
你贾家,娘未必不,姨,004.txt
守着,舅姨爹住,舅,004.txt
守着舅,姨爹住着,舅,004.txt
守着舅舅,爹住着,姨,004.txt
我和你,姊妹们别,姨,004.txt
投你,娘家去,姨,004.txt
薛蟠见,如此说,母亲,004.txt
那时王,已知薛蟠,夫人,004.txt
家人传报,太太带了,姨,004.txt
喜的王,忙带了女,夫人,004.txt
将薛,妈等接了,姨,004.txt
见贾,将人情土,母,004.txt
对王,姨太太,夫人,004.txt
王夫人说,太太已有,姨,004.txt
打扫了,太太和姐,姨,004.txt
了甚好,未及留,夫人,004.txt
人未及留,也就遣人,母,004.txt
人来说,太太就在,姨,004.txt
等语,妈正要同,姨,004.txt
方可拘紧,若另住在,儿子,004.txt
又私与王,说明,夫人,004.txt
常之法,知他家不,夫人,004.txt
从此后薛,子就在梨,母,004.txt
是王,正房的东,夫人,004.txt
或晚间,妈便过来,姨,004.txt
或与贾,闲谈,母,004.txt
或与王,相叙,夫人,004.txt
但恐,父管约拘,姨,004.txt
但恐姨,管约拘禁,父,004.txt
无奈,执意在此,母亲,004.txt
所以这些,们竟可以,弟,004.txt
薛家,子在荣府,母,005.txt
荣府以来,万般怜爱,母,005.txt
惜春三个,倒且靠后,女儿,005.txt
视姊妹,弟皆出一,兄,005.txt
视姊妹兄,皆出一意,弟,005.txt
处贾,房中,母,005.txt
贾珍之,尤氏乃治,妻,005.txt
请贾,邢夫人,母,005.txt
请贾母,王夫人等,夫人,005.txt
邢夫人,等赏花,夫人,005.txt
蓉之,二人来面,妻,005.txt
人来面请,等于早饭,母,005.txt
欲睡中觉,命人好生,母,005.txt
宝二,收拾下的,叔,005.txt
请宝二,跟我这里,叔,005.txt
这里来,素知秦氏,母,005.txt
那里有个,叔往侄儿,叔,005.txt
那里有个,往侄儿媳,叔,005.txt
往侄,妇房里睡,儿媳,005.txt
那个,弟来了,兄,005.txt
个兄,来了,弟,005.txt
虽然和宝,同年,叔,005.txt
有唐,虎画的,伯,005.txt
强如天天,母师傅管,父,005.txt
被父,师傅管束,母,005.txt
个仙,喜的忙来,姑,005.txt
那仙,吾居离,姑,005.txt
幻仙,是也,姑,005.txt
竟随着这,到了一个,姑,005.txt
当下随了,进入二层,姑,005.txt
因向仙,敢烦仙,姑,005.txt
敢烦仙,引我到那,姑,005.txt
使得么,此中各,姑,005.txt
襁褓之间,母违,父,005.txt
襁褓之间,父母违,母,005.txt
那仙,知他天分,姑,005.txt
清净,之境,女儿,005.txt
幸仙,偶来,姑,005.txt
便是吾,弟之幸了,兄,005.txt
便是吾兄,之幸了,弟,005.txt
众仙,姓名,姑,005.txt
一名痴梦,一名钟情,姑,005.txt
襁褓中,母叹双亡,父,005.txt
襁褓中,叹双亡,母,005.txt
的狠,奸兄,舅,005.txt
舅奸,正是乘除,兄,005.txt
忙答道,差了,姑,005.txt
懒于读书,母尚每垂,父,005.txt
家父,尚每垂训,母,005.txt
随至贾,处来,母,006.txt
袭人自知,已将他给,母,006.txt
祖王,之父认识,夫人,006.txt
人之,认识,父,006.txt
那时只有,之大兄凤,夫人,006.txt
之大,凤姐之父,兄,006.txt
姐之,与王夫人,父,006.txt
与王,随在京的,夫人,006.txt
只有一个,名唤王成,儿子,006.txt
小名狗儿,刘氏,妻,006.txt
青板姊,两个无人,弟,006.txt
狗儿遂将,刘姥姥接,母,006.txt
如今,接了养活,女婿,006.txt
帮着,女婿过活,女儿,006.txt
帮着女儿,过活起来,女婿,006.txt
便劝道,你别嗔着,姑,006.txt
汉大,如今咱们,丈夫,006.txt
想当初我,还去过一,女儿,006.txt
爷的,听见他们,夫人,006.txt
只怕二,太太还认,姑,006.txt
又听他,这番话,妻子,006.txt
过这,太太一次,姑,006.txt
和我,交过一桩,父亲,006.txt
我们,娘年轻的,姑,006.txt
二则也请,太太的安,姑,006.txt
只因他,昔年争买,丈夫,006.txt
多得狗儿,之力,父亲,006.txt
内侄,大舅老爷,女儿,006.txt
内侄女儿,老爷的女,舅,006.txt
都是凤,娘周旋接,姑,006.txt
这位凤,今年不过,姑,006.txt
这凤,娘年纪儿,姑,006.txt
乃是贾琏,睡觉之所,女儿,006.txt
才要称,奶奶,姑,006.txt
他是平,又见平,姑,006.txt
拜了几拜,奶奶安,姑,006.txt
没的给,奶奶打嘴,姑,006.txt
着祖,的虚名,父,006.txt
不过来瞧,太太姑奶,姑,006.txt
太太,奶奶,姑,006.txt
笑回道,打发来求,父亲,006.txt
上回老,太太给婶,舅,006.txt
子要不借,又说我不,父亲,006.txt
明贾,要约秦钟,母,008.txt
说的贾,喜欢起来,母,008.txt
请贾,一同过去,母,008.txt
过去看戏,虽年高,母,008.txt
遂带了王,黛玉,夫人,008.txt
至晌午,便回来歇,母,008.txt
回来歇息,本好清净,夫人,008.txt
见贾,回来也就,母,008.txt
送贾,回来,母,008.txt
待贾,歇了中觉,母,008.txt
又怕遇见,更为不妥,父亲,008.txt
先进薛,妈屋里来,姨,008.txt
见薛,妈打点针,姨,008.txt
忙请了安,妈一把拉,姨,008.txt
在家么,妈叹道,姨,008.txt
大安了,妈道,姨,008.txt
太太,娘安,姨,008.txt
又问别的,们好,姐妹,008.txt
倒像和,娘项圈上,姑,008.txt
面人说,娘来了,姑,008.txt
宝玉的奶,李嬷嬷便,母,008.txt
和姐,妹一处玩,姐妹,008.txt
处玩玩儿,太太那里,姨,008.txt
这里薛,妈已摆了,姨,008.txt
的好鹅掌,妈连忙把,姨,008.txt
酒才好,妈便命人,姨,008.txt
嬷上来道,太太,姨,008.txt
挨了两天,太太不知,姨,008.txt
里头呢,妈笑道,姨,008.txt
喝冷的,妈道,姨,008.txt
钗笑道,亏你每日,兄,008.txt
宝兄,亏你每日,弟,008.txt
紫鹃姐姐,娘冷,姑,008.txt
也不理他,妈因笑道,姨,008.txt
黛玉笑道,妈不知道,姨,008.txt
幸亏是,妈这里,姨,008.txt
了的呢,妈道,姨,008.txt
又兼,们说说笑,姐妹,008.txt
扫大家的,舅若叫,舅,008.txt
大家的兴,若叫,舅,008.txt
只说,妈这里留,姨,008.txt
如今在,妈这里多,姨,008.txt
必定,妈这里是,姨,008.txt
又不是,妈一面笑,姨,008.txt
再烫些酒,妈陪你吃,姨,008.txt
悄悄的回,妈道,姨,008.txt
薛姨妈道,太太别由,姨,008.txt
幸而薛,妈千哄万,姨,008.txt
了几碗茶,妈才放了,姨,008.txt
斗篷披上,妈忙道,姨,008.txt
就是了,妈不放心,姨,008.txt
了他,妹们去,兄,008.txt
一径回至,房中,母,008.txt
贾母房中,尚未用晚,母,008.txt
知是薛,妈处来,姨,008.txt
人笑道,娘早走了,姑,008.txt
回贾,贾母,母,008.txt
早有贾,那边的人,母,008.txt
领了拜见,贾母见秦,母,008.txt
拜见贾母,见秦钟形,母,008.txt
见王,众人因爱,夫人,008.txt
都有表礼,又给了一,母,008.txt
只和你宝,在一处,叔,008.txt
回家禀知,他父亲,父亲,008.txt
他父亲秦,秦邦业现,父亲,008.txt
年近七旬,早亡,夫人,008.txt
一个,和一个女,儿子,008.txt
一个,谁知儿子,女儿,008.txt
谁知,又死了,儿子,008.txt
只剩下个,小名叫做,女儿,008.txt
因是,的终身大,儿子,008.txt
的小,又不是贾,舅,010.txt
他母亲胡,胡氏听见,母亲,010.txt
望你,妈说了,姑,010.txt
姑妈说了,妈千方百,姑,010.txt
且说他,原聘给的,姑,010.txt
这贾璜夫,守着些小,妻,010.txt
金荣的,偏提起昨,母亲,010.txt
他小,子说了,姑,010.txt
这金荣的,听了这话,母亲,010.txt
告诉了,奶奶了,姑,010.txt
姑奶奶了,奶奶别去,姑,010.txt
珍之,尤氏,妻,010.txt
晨他,弟来瞧他,兄,010.txt
他兄,来瞧他,弟,010.txt
了他,又是恼,兄,010.txt
他兄,又是恼,弟,010.txt
气的是他,弟不学好,兄,010.txt
气的是他,不学好,弟,010.txt
又劝解了,弟一会子,兄,010.txt
他兄,一会子,弟,010.txt
我叫他,弟到那边,兄,010.txt
我叫他兄,到那边府,弟,010.txt
给他,来捐官,儿子,010.txt
子来逛逛,今日又听,父亲,010.txt
深通医学,不胜钦仰,弟,010.txt
这就是尊,贾蓉道,夫人,010.txt
依小,的意思,弟,010.txt
叫小,过来看看,弟,010.txt
过来看看,所以不得,弟,010.txt
看小,说的是不,弟,010.txt
以便使家,母放心,父,010.txt
以便使家,放心,母,010.txt
看得尊,这脉息,夫人,010.txt
则小,不敢从其,弟,010.txt
依小,看来,弟,010.txt
你说,遵太爷的,父亲,011.txt
次后邢,王夫人,夫人,011.txt
后邢夫人,凤姐儿,夫人,011.txt
尤氏的,已先在这,母亲,011.txt
是老祖宗,又是侄儿,父亲,011.txt
等王,开口,夫人,011.txt
着宝,弟他们吃,兄,011.txt
宝兄,他们吃桃,弟,011.txt
王夫人道,前日听,夫人,011.txt
蓉哥,妇儿身上,儿媳,011.txt
月没来,接着说道,夫人,011.txt
给邢,王夫人,夫人,011.txt
给邢夫人,凤姐儿前,夫人,011.txt
并回说我,在家中伺,父亲,011.txt
叫告诉,母亲好生,父亲,011.txt
叫告诉父,好生伺候,母亲,011.txt
伺候,叔婶子们,叔,011.txt
候叔,婶子们并,叔,011.txt
了我,我这会子,父亲,011.txt
向邢,王夫人道,夫人,011.txt
向邢夫人,太太们,夫人,011.txt
子里呢,向邢夫人,夫人,011.txt
王夫人向,我们索,夫人,011.txt
好些事,很好,夫人,011.txt
尤氏让邢,王夫人并,夫人,011.txt
让邢夫人,并他母亲,夫人,011.txt
王夫人并,都上了坐,母亲,011.txt
侧席坐了,王夫人道,夫人,011.txt
邢夫人,我们来,夫人,011.txt
尤氏的,并邢夫人,母亲,011.txt
并邢,王夫人,夫人,011.txt
并邢夫人,凤姐儿都,夫人,011.txt
众位,叔哥哥兄,叔,011.txt
位叔,哥哥兄弟,叔,011.txt
哥哥,弟们也都,兄,011.txt
哥兄,们也都吃,弟,011.txt
琏二,并蔷兄弟,叔,011.txt
并蔷,弟让过去,兄,011.txt
蔷兄,让过去听,弟,011.txt
俱回了我,先收在帐,父亲,011.txt
了饭才去,该请二位,母亲,011.txt
蓉哥,我再过去,儿媳,011.txt
再过去,很是,夫人,011.txt
瞧秦氏去,你看看,夫人,011.txt
那是侄,于是尤,儿媳,011.txt
了邢,王夫人并,夫人,011.txt
了邢夫人,并他母亲,夫人,011.txt
王夫人并,都过会芳,母亲,011.txt
婶子和二,在上房还,叔,011.txt
因说道,你忒婆婆,兄,011.txt
宝兄,你忒婆婆,弟,011.txt
姐儿道,太太叫你,兄,011.txt
宝兄,太太叫你,弟,011.txt
你先同你,叔过去罢,叔,011.txt
宝叔,过去罢,叔,011.txt
儿说道,别忒淘气,兄,011.txt
宝兄,别忒淘气,弟,011.txt
王二,前告了坐,夫人,011.txt
又在尤氏,前周旋了,母亲,011.txt
何敢点,王夫人说,夫人,011.txt
邢夫人王,说道,夫人,011.txt
时候了,可不是,夫人,011.txt
向尤氏的,告了辞,母亲,011.txt
见了邢,王夫人道,夫人,011.txt
了邢夫人,二位婶,夫人,011.txt
来逛逛,罢了,夫人,011.txt
随了王,去了,夫人,011.txt
子的,兄子侄吃,弟,011.txt
的弟,子侄吃过,兄,011.txt
的那几日,王夫人,母,011.txt
贾母,凤姐儿日,夫人,011.txt
见甚好,向贾母说,夫人,011.txt
王夫人向,这个症,母,011.txt
指望了,可是呢,母,011.txt
见了贾,蓉哥,母,011.txt
蓉哥,妇请老太,儿媳,011.txt
安来呢,你看他,母,011.txt
还好呢,听了,母,011.txt
见过了王,到了家中,夫人,011.txt
子的利银,妇送进来,儿媳,011.txt
往贾,那边去的,母,012.txt
原来贾瑞,母早亡,父,012.txt
原来贾瑞,早亡,母,012.txt
只有他祖,代儒教养,父,012.txt
只说,舅家去了,舅,012.txt
往舅,家去了,舅,012.txt
又等他祖,安歇了,父,012.txt
瑞大,要臊我呢,叔,012.txt
他又怕祖,知道,父,012.txt
荣府来寻,命凤姐秤,夫人,012.txt
了去了,就是咱,夫人,012.txt
然后回王,只说,夫人,012.txt
黛玉回去,听了,母,012.txt
争奈,女之情,父,012.txt
于是贾,定要贾琏,母,012.txt
了贾,带领仆从,母,012.txt
往王,处来,夫人,013.txt
又要回贾,来请大夫,母,013.txt
来见贾,即时要过,母,013.txt
由他罢了,见他要去,母,013.txt
那里肯依,命人备车,母,013.txt
妇比,还强十倍,儿子,013.txt
贾珍见,不管,父亲,013.txt
年先,带来,父,013.txt
侯的,弟老三来,兄,013.txt
的兄,老三来求,弟,013.txt
科进士贾,世袭三品,父,013.txt
鼎的,来了,夫人,013.txt
夫人来了,邢夫人,夫人,013.txt
王夫人,凤姐等刚,夫人,013.txt
寿山,三家祭礼,伯,013.txt
近亲堂客,王夫人,夫人,013.txt
邢夫人,凤姐并合,夫人,013.txt
踱了进来,等因说道,夫人,013.txt
请安道乏,等忙叫宝,夫人,013.txt
大妹妹,等忙问,夫人,013.txt
媳妇没了,妇偏又病,儿媳,013.txt
放心了,笑道,夫人,013.txt
就是了,忙道,夫人,013.txt
不看侄儿,妇的分上,儿媳,013.txt
王夫人心,心中怕的,夫人,013.txt
先见王,不允,夫人,013.txt
说的情真,有活动之,夫人,013.txt
便向王,大哥哥,夫人,013.txt
依了罢,悄悄的道,夫人,013.txt
就是了,见说的有,夫人,013.txt
只看着王,王夫人道,夫人,013.txt
着王夫人,你哥哥,夫人,013.txt
女眷散后,因问凤姐,夫人,013.txt
去得呢,听说,夫人,013.txt
便先同邢,等回去,夫人,013.txt
发回来的,老爷是九,姑,014.txt
二爷带了,娘同送林,姑,014.txt
送林,老爷灵到,姑,014.txt
跟王,送殡,夫人,014.txt
王邢二,又去打祭,夫人,014.txt
又有胞,王仁连家,兄,014.txt
禀叩,母并带往,父,014.txt
叩父,并带往之,母,014.txt
一等,牛继宗,伯,014.txt
余者锦乡,公子韩奇,伯,014.txt
此祖,相与之情,父,014.txt
听得,兄亲友人,父,014.txt
得父,亲友人等,兄,014.txt
只是,拘束严密,父亲,014.txt
想老太,夫人辈自,夫人,015.txt
想老太夫,辈自然钟,夫人,015.txt
难见贾,因此便命,母,015.txt
姐笑道,你是个尊,兄,015.txt
好兄,你是个尊,弟,015.txt
请邢,王夫人的,夫人,015.txt
人王,的示下,夫人,015.txt
着他,的轿,父亲,015.txt
那些村,庄妇见了,姑,015.txt
他小,同着几个,兄,015.txt
小兄,同着几个,弟,015.txt
从公侯,子男一起,伯,015.txt
王二,知凤姐必,夫人,015.txt
就要进城,要带宝玉,夫人,015.txt
凤姐住着,无法,夫人,015.txt
庵的,子净虚说,姑,015.txt
智能两个,出来迎接,弟,015.txt
叫请几位,念三日,父,015.txt
他有个,小名金哥,女儿,015.txt
的小,子李衙内,舅,015.txt
定要娶他,张家正无,女儿,015.txt
说一个,许几家,女儿,015.txt
便有贾,王夫人打,母,015.txt
便有贾母,打发了人,夫人,015.txt
宝玉的心,听见,母,015.txt
谁知那张,母如此爱,父,016.txt
家父,如此爱势,母,016.txt
情的,闻得父母,女儿,016.txt
闻得,母退了前,父,016.txt
闻得父,退了前夫,母,016.txt
不负,张李两家,妻,016.txt
了三千两,等连一点,夫人,016.txt
贾母等合,等合家人,母,016.txt
那时贾,正心神不,母,016.txt
那邢,王夫人,夫人,016.txt
那邢夫人,尤氏,夫人,016.txt
及薛,妈等皆在,姨,016.txt
如此信至,便唤进赖,母,016.txt
去谢恩,等听了方,母,016.txt
大妆起来,带领邢夫,母,016.txt
贾母带领,王夫人,夫人,016.txt
领邢夫人,尤氏,夫人,016.txt
贾蔷奉侍,大轿前往,母,016.txt
今见老,气死,父,016.txt
解得愁闷,等如何谢,母,016.txt
同宗,又与黛玉,弟,016.txt
宗弟,又与黛玉,兄,016.txt
琏二爷和,娘进府了,姑,016.txt
便笑道,老爷大喜,舅,016.txt
老爷大喜,老爷一路,舅,016.txt
然蓉,妇死了,儿媳,016.txt
进来回道,太太打发,姨,016.txt
方才我见,妈去,姨,016.txt
说话时因,谁知就是,姨,016.txt
不能到手,妈打了多,姨,016.txt
也因,妈看着香,姨,016.txt
